"get divorced";"рвзвестись"
"to brake up";"расставаться"
"to split up";"расставаться"
"to boast";"хвастаться"
"call off";"отменить"
"acquaintance";"знакомство, знакомый"
"to recover";"выздоравливать"
"accustomed to";"привыкший "
"thoughtful";"задумчивый"
"to strive";"стремиться, стараться"
"undertake";"предприниматься"
"thrilling";"захватывающий"
"difference";"разница"
"kitchen";"кухня"
"below";"ниже"
"above";"выше"
"timetable";"расписание"
"into account ";"принять во внимание"
"reliable";"надёжный"
"get rid of";"избавиться"
"supper";"ужин"
"irregular";"неправильный, непостоянный"
"rarely";"редко"
"seldom";"редко"
"to rob ";"грабить"
"amazed by (of)";"поражённый"
"angry with";"сердиться на (человека),  злиться из-за "
"angry about";"сердиться на (объект), злиться из-за "
"by chance ";"случайно"
"to stay at";"находиться дома, в здании"
"to exaggerate ";"преувеличивать"
"cheaper ";"более дешёвой, дешевле"
"get close for ";"приближаться к, подобраться"
"lose patience";"терять терпение "
"selfish";"эгоистичный"
"irritation";"раздражение"
"affirmative";"утвердительный"
"impatience";"нетерпение"
"come across";"встретиться, пересечься"
"let down ";"подводить"
"frankly";"откровенно, честно"
"to shorten";"сокращать, укоротить"
"to lengthen";"удлинить"
"to prescribe";"предписать, прописывать"
"to point out";"заметить"
"to consist of";"состоять из"
"feel free to contact me";"не стесняйся обращаться "
"to pretent";"притворяться"
"sincere";"искренний"
"to digest";"переварить (информацию)"
"needy";"нуждающийся"
"humiliate";"унижать"
"all the pros and cons ";"все за и против, все плюсы и минусы"
"isolated";"изолированный, оторванный"
"fill in ";"заполнить форму"
"to leave ";"забыть (ключи)"
"to idealize";"идеализировать"
"mustache";"усы"
"move to";"переехать"
"boils at";"кипит при (температуре)"
"shake hands";"пожать руки"
"to quarrel";"ссориться"
"gotta (I have got to)";"мне нужно, я вынужден "
"to part ways";"Закончиться, разойтись, расстаться"
"sick and tired";"Откровенно достало"
"Mockingjay";"сойка-пересмешника"
"to zip";"Застегнуть молнию"
"to fasten";"застегнуть (ремень)"
"to twist";"сделать человеку плохо"
"to slow up (down)";"Притормозить (про человека)"
"to let up";"Ослабевать, сходить на нет"
"sacrilegious";"кощунственный"
"take forever";"Очень долго (время)"
"run-in";"схватка"
"to detract";"Уменьшать "
"detractors";"недоброжелатели"
"pitchfork";"вилы"
"corkscrew";"штопор"
"revenge";"расплата, месть"
"leeches";"пиявки"
"flip the bird";"Поднять средний палец"
"Lip-syncs";"Липсинг"
"hardly";"Едва ли"
"prolly";"возможно (prodadly)"
"to fetch";"пойди принеси (часто говорят собакам)"
"remote";"пульт"
